fullName,department,position_title,years_of_experience,salary,hire_date,employee_status,position,performance_rating
Keane Sproson,Accounting,Staff Scientist,17,105845.32,10/10/2007,on leave,Senior Management,4.6
Moses Ruddock,Legal,Programmer I,14,134313.96,8/22/2000,active,Support Staff,1.0
Bradan Rubinchik,Legal,Dental Hygienist,30,145507.55,2/18/2011,active,Professional Staff,1.1
Ulberto Rowden,Legal,VP Accounting,8,130014.69,7/11/2007,inactive,Administrative Staff,4.4
Kristen Tothe,Engineering,Marketing Assistant,29,100570.29,12/30/2012,on leave,Support Staff,3.6
Uri Buntin,Business Development,Accountant I,29,102898.85,9/21/2015,active,Professional Staff,2.5
Loutitia Gonnet,Marketing,Assistant Media Planner,19,143272.8,5/19/2008,active,Senior Management,1.1
Haven Gansbuhler,Services,Office Assistant II,17,77025.52,5/2/2020,active,Professional Staff,2.7
Hank Upchurch,Marketing,Chemical Engineer,29,141313.34,12/26/2004,active,Support Staff,2.1
Nancie Floyed,Research and Development,Media Manager I,27,91397.88,3/30/2003,inactive,Executive Level,2.6
Maure Cassie,Research and Development,Speech Pathologist,27,98263.36,5/27/2006,inactive,Professional Staff,4.9
Maximilian Basson,Engineering,Engineer III,27,114077.8,6/2/2019,active,Junior Management,1.3
Kyle Bethel,Marketing,Product Engineer,16,113262.49,12/4/2017,active,Support Staff,1.2
Kristyn McTrustie,Services,Assistant Manager,13,54415.97,6/22/2009,on leave,Professional Staff,2.4
Kean Brozsset,Human Resources,Junior Executive,8,98816.97,4/28/2021,active,Professional Staff,4.3
Roseline Schottli,Marketing,Information Systems Manager,3,114724.77,6/29/2007,active,Junior Management,1.4
Rosabel Hazelhurst,Training,Clinical Specialist,11,120016.73,6/24/2008,on leave,Executive Level,3.7
Nial Penniell,Human Resources,Senior Financial Analyst,26,145332.4,10/2/2009,active,Support Staff,1.6
Christalle Lademann,Support,Statistician I,17,137826.9,1/2/2017,active,Administrative Staff,2.0
Genevra Balchen,Support,Media Manager IV,12,87807.81,5/9/2016,on leave,Support Staff,3.5
Christye Cubley,Human Resources,Assistant Professor,14,64956.9,8/10/2010,active,Senior Management,2.2
Igor Postgate,Support,Graphic Designer,4,63708.64,12/14/2017,active,Professional Staff,2.8
Elane Brasener,Support,Speech Pathologist,30,92099.02,3/9/2008,inactive,Professional Staff,1.5
Kellia Bony,Human Resources,Staff Scientist,18,135804.23,8/14/2001,active,Senior Management,1.4
Antonio McDonagh,Business Development,Structural Engineer,3,73057.17,1/5/2000,active,Professional Staff,2.2
Debora Mellish,Engineering,Systems Administrator II,9,58421.95,10/21/2007,inactive,Support Staff,1.8
Bevvy Ivanin,Legal,Payment Adjustment Coordinator,7,129866.64,4/8/2014,active,Senior Management,3.1
Belva Annes,Sales,Web Designer II,8,53372.29,8/9/2008,active,Executive Level,2.1
Hesther MacGall,Support,Mechanical Systems Engineer,11,116781.77,1/4/2001,active,Administrative Staff,2.9
Janella Barbara,Product Management,Web Designer I,21,118307.85,8/20/2004,active,Senior Management,1.4
Roanna Pollok,Sales,Biostatistician IV,25,127648.22,2/28/2012,on leave,Professional Staff,4.5
Inge Ryam,Sales,Associate Professor,9,77261.8,10/2/2009,active,Professional Staff,3.0
Symon Lendon,Services,Marketing Manager,26,122221.99,3/7/2016,active,Professional Staff,1.6
Nola Denial,Support,Biostatistician II,11,59756.13,8/13/2019,active,Support Staff,4.6
Bobina McKechnie,Support,Data Coordinator,14,95554.69,12/22/2013,active,Administrative Staff,1.2
Juditha Guntrip,Product Management,Paralegal,8,79679.14,6/17/2021,inactive,Executive Level,4.2
Malvin Finnigan,Sales,Social Worker,25,133500.89,2/16/2019,inactive,Senior Management,4.5
Sutherlan Dearle-Palser,Legal,Software Consultant,29,127712.46,2/25/2002,active,Professional Staff,4.5
Felice Clerc,Human Resources,Social Worker,5,144246.49,4/1/2001,active,Support Staff,5.0
Phillip MacDermot,Business Development,Accounting Assistant II,29,148219.5,6/27/2005,active,Administrative Staff,2.4
Timotheus Chalcraft,Legal,Editor,28,57390.08,8/24/2021,active,Professional Staff,3.4
Elissa Chaunce,Accounting,Associate Professor,8,79270.99,12/15/2009,active,Professional Staff,3.5
Dur Dunnion,Accounting,Graphic Designer,21,77899.16,7/2/2019,inactive,Senior Management,4.9
Hesther Grunbaum,Sales,VP Quality Control,18,73496.45,7/18/2010,on leave,Professional Staff,2.8
Griffy Maghull,Product Management,Nurse Practicioner,2,116129.49,5/14/2005,on leave,Professional Staff,3.0
Eirena Pawley,Marketing,Sales Representative,3,98568.1,9/4/2009,active,Professional Staff,3.7
Melisse Bravington,Support,Associate Professor,18,125664.06,12/9/2010,on leave,Support Staff,3.7
Brett Tullis,Business Development,Social Worker,19,82407.44,6/23/2022,active,Junior Management,4.2
Shanta Callen,Training,Accounting Assistant I,30,63187.82,7/15/2015,active,Support Staff,3.6
Tommy Woolveridge,Services,Research Associate,24,56033.59,12/19/2016,active,Support Staff,2.7
Lynn Hamments,Research and Development,Budget/Accounting Analyst IV,9,125161.58,2/19/2008,active,Senior Management,4.0
Umberto Mountain,Engineering,Financial Analyst,29,74841.97,5/16/2006,on leave,Professional Staff,3.0
Editha Longson,Marketing,Financial Advisor,10,72470.51,12/7/2004,active,Support Staff,4.9
Dyann Wenger,Sales,Geologist I,4,56420.39,2/18/2017,active,Senior Management,1.2
Betteanne Horrigan,Research and Development,Cost Accountant,5,118758.73,6/12/2019,active,Professional Staff,3.3
Cosimo Forsdicke,Marketing,Research Assistant II,21,89620.4,1/30/2019,active,Senior Management,2.3
Verina Dublin,Training,Professor,8,81617.77,11/19/2019,active,Senior Management,3.0
Gael McJury,Human Resources,Web Designer III,2,61276.38,4/8/2020,active,Support Staff,2.0
Helga Chichgar,Engineering,Nurse,28,93848.33,8/1/2010,active,Senior Management,4.2
Tull Samper,Business Development,Cost Accountant,25,99787.09,11/19/2007,active,Professional Staff,4.6
Sorcha Hartin,Research and Development,Nurse Practicioner,22,77285.28,8/25/2006,on leave,Support Staff,2.5
Lowrance Scargill,Marketing,VP Sales,0,104597.72,6/10/2004,active,Professional Staff,1.4
Brunhilda Bernadzki,Engineering,Web Designer IV,16,76110.95,11/24/2012,active,Middle Management,2.6
Marcos Charon,Engineering,Marketing Manager,23,124300.31,3/25/2015,active,Professional Staff,3.7
Lyndell St. Quintin,Training,Biostatistician I,20,86545.29,7/20/2002,active,Middle Management,1.2
Callie Pickworth,Product Management,Programmer Analyst IV,15,119576.85,1/27/2010,active,Professional Staff,4.7
Sam Levinge,Training,VP Sales,20,117167.65,4/5/2008,active,Administrative Staff,3.0
Alfred Norrie,Product Management,Office Assistant I,3,73676.28,11/5/2012,active,Administrative Staff,3.2
Demetria Domel,Business Development,Senior Editor,25,85179.98,7/24/2000,active,Professional Staff,2.9
Kipp Haylett,Accounting,Speech Pathologist,21,145865.88,12/25/2011,active,Professional Staff,3.1
Amii McQuilty,Legal,Physical Therapy Assistant,9,51096.87,12/18/2015,inactive,Executive Level,1.4
Bruce Winwright,Training,Help Desk Operator,16,129799.79,8/1/2001,active,Support Staff,4.5
Bevvy Livezey,Human Resources,Information Systems Manager,8,71659.67,8/24/2003,active,Executive Level,4.3
Forrest Peirone,Marketing,Editor,18,112576.88,1/4/2015,active,Support Staff,4.3
Drucill Milbank,Legal,Cost Accountant,30,90195.99,10/5/2012,active,Support Staff,3.7
Etty Lassetter,Human Resources,Project Manager,30,129816.67,4/13/2013,active,Senior Management,1.2
Worthington Waldrum,Accounting,Account Executive,25,115093.96,3/26/2022,active,Administrative Staff,4.0
Rik Besset,Sales,Systems Administrator II,12,95641.32,4/16/2001,active,Professional Staff,3.8
Richmound Escale,Support,Senior Quality Engineer,3,146369.12,10/2/2005,active,Support Staff,4.9
Roderick Farrens,Business Development,Pharmacist,13,93985.26,2/5/2008,on leave,Senior Management,1.6
Alfredo Tenwick,Business Development,Librarian,10,74755.18,8/27/2003,inactive,Senior Management,3.3
Philbert Swoffer,Research and Development,Graphic Designer,3,56578.3,7/11/2013,active,Support Staff,5.0
Sherwynd Sigsworth,Marketing,Biostatistician III,12,141963.37,12/12/2007,active,Support Staff,3.5
Hastings Paolicchi,Support,Database Administrator III,0,111975.91,9/21/2012,on leave,Administrative Staff,4.1
Abe Jess,Services,Director of Sales,25,101779.09,11/17/2017,active,Professional Staff,2.6
Reta Chadwell,Human Resources,Pharmacist,13,94300.2,8/8/2011,active,Support Staff,4.0
Missy Allwright,Product Management,Physical Therapy Assistant,0,61766.37,6/21/2000,active,Professional Staff,4.9
Merna Godfray,Marketing,Staff Accountant I,4,61648.79,11/19/2022,active,Support Staff,3.7
Trevor Issett,Sales,VP Quality Control,23,79049.39,5/19/2004,on leave,Senior Management,2.5
Dennie Biddulph,Sales,Account Coordinator,14,76091.6,9/11/2004,active,Support Staff,1.3
Ingemar Omar,Training,Health Coach III,25,98791.62,2/16/2001,inactive,Professional Staff,4.4
Clarine Dei,Business Development,Compensation Analyst,10,94254.72,8/31/2002,active,Professional Staff,1.4
Caspar Bineham,Research and Development,Information Systems Manager,11,122507.78,2/12/2007,active,Support Staff,1.8
Stefanie Scoullar,Marketing,Human Resources Assistant IV,0,95098.51,12/1/2021,active,Professional Staff,2.4
Zebulen Macak,Legal,Executive Secretary,8,103132.77,1/18/2004,active,Executive Level,1.5
Cordell Powdrell,Product Management,Senior Sales Associate,13,145653.74,10/11/2021,active,Professional Staff,4.5
Darlleen Iianon,Support,Paralegal,16,52182.8,12/11/2017,active,Executive Level,4.1
Mateo Hinrichs,Marketing,Assistant Professor,1,68666.25,7/4/2013,active,Professional Staff,3.2
Maribelle Wyon,Accounting,Media Manager I,13,114824.75,3/24/2009,active,Administrative Staff,1.7
Garrik Quodling,Product Management,Staff Accountant II,30,51928.02,10/19/2011,inactive,Professional Staff,2.4
Artus Bowra,Legal,Accounting Assistant I,26,95208.73,8/5/2011,active,Support Staff,1.9
Katharina Kassel,Human Resources,Biostatistician III,16,138921.17,3/16/2005,active,Senior Management,2.1
Stu Leeds,Business Development,Speech Pathologist,3,137393.3,2/23/2020,inactive,Professional Staff,1.6
Aeriel McLarty,Business Development,Account Executive,29,131475.15,1/28/2011,active,Middle Management,1.4
Nelle Pioch,Research and Development,Assistant Professor,27,80088.88,6/23/2017,on leave,Professional Staff,1.9
Erma Dioniso,Research and Development,Senior Developer,7,75494.22,4/2/2013,active,Senior Management,3.3
Henri Londer,Marketing,Quality Engineer,21,96439.99,7/22/2022,active,Senior Management,4.9
Murvyn Nairn,Marketing,Database Administrator III,28,64925.24,3/26/2022,on leave,Senior Management,1.1
Herta Crocroft,Sales,Social Worker,21,147579.65,9/2/2020,active,Professional Staff,3.9
Garland McPaik,Accounting,Clinical Specialist,29,149971.79,1/30/2021,active,Middle Management,5.0
Donalt Voaden,Business Development,Research Nurse,0,77827.47,12/3/2021,inactive,Senior Management,2.8
Darby Mainds,Engineering,Help Desk Technician,29,93152.85,7/15/2014,on leave,Support Staff,4.3
Garreth Hertwell,Support,Paralegal,19,71632.24,1/16/2006,active,Professional Staff,4.5
Inesita Pidcock,Research and Development,Human Resources Assistant II,15,108306.22,3/4/2019,active,Support Staff,1.6
Blondell Grissett,Product Management,Structural Engineer,2,134558.4,5/17/2013,on leave,Junior Management,4.3
Margret Marshal,Engineering,Assistant Media Planner,4,129944.86,4/10/2017,on leave,Professional Staff,1.9
Trumann Tomasello,Services,Statistician I,25,143688.52,1/4/2009,active,Professional Staff,3.1
Rudolfo Bertelmot,Support,Statistician III,15,92485.81,11/5/2018,active,Senior Management,2.4
Sauveur Mesant,Legal,Health Coach II,5,116485.1,7/27/2022,active,Professional Staff,4.9
Darcey Dundon,Accounting,Associate Professor,18,114917.81,11/4/2008,inactive,Support Staff,3.4
Shelbi Lakenton,Services,Account Representative IV,2,82785.29,5/19/2014,active,Professional Staff,3.3
Jinny Desaur,Human Resources,General Manager,5,67854.54,10/17/2017,on leave,Senior Management,1.4
Leonhard Lamb-shine,Services,Database Administrator I,19,74824.71,5/7/2021,on leave,Support Staff,5.0
Jenelle Vern,Human Resources,Statistician III,22,117610.58,10/14/2020,active,Professional Staff,1.3
Shoshanna Fairleigh,Business Development,Nuclear Power Engineer,13,112154.06,6/9/2020,active,Professional Staff,3.1
Stevana Pieroni,Support,Information Systems Manager,22,116326.69,6/24/2010,active,Professional Staff,4.3
Willey Bavister,Human Resources,Financial Advisor,21,115847.21,8/2/2012,active,Professional Staff,4.1
Clemmie Sarfatti,Accounting,Assistant Manager,21,104977.21,4/25/2004,active,Professional Staff,3.1
Eartha Romaynes,Business Development,Help Desk Technician,15,138016.17,11/8/2000,active,Professional Staff,1.6
Marice Borsnall,Sales,VP Accounting,4,91055.72,11/24/2002,active,Support Staff,1.9
Mindy Cundey,Human Resources,Software Engineer I,2,115942.94,6/13/2007,inactive,Support Staff,4.6
Row Burcher,Marketing,Nuclear Power Engineer,4,115093.21,5/23/2010,active,Professional Staff,1.9
Rabi Peggs,Business Development,Software Engineer IV,26,101231.43,1/27/2018,active,Senior Management,4.3
Misha Janowicz,Sales,Mechanical Systems Engineer,2,118400.6,11/29/2019,on leave,Senior Management,3.6
Doro Flisher,Engineering,Research Assistant I,29,123393.71,10/11/2003,on leave,Support Staff,3.6
Emmit Dornin,Accounting,Quality Control Specialist,24,122338.31,6/12/2015,active,Professional Staff,3.3
Kingsly Thumann,Services,Quality Engineer,2,102085.87,12/28/2000,inactive,Professional Staff,1.2
Whitman Lindenstrauss,Support,Staff Scientist,4,111211.51,3/6/2012,inactive,Senior Management,3.9
Marji Yerborn,Sales,Help Desk Operator,0,65888.14,7/18/2011,active,Professional Staff,3.8
Murdock Caughey,Legal,Director of Sales,27,66624.13,2/7/2011,inactive,Junior Management,4.3
Burnard Conn,Engineering,Help Desk Operator,10,142227.63,11/8/2014,active,Middle Management,3.1
Raye Defau,Marketing,Cost Accountant,22,111049.91,7/17/2012,active,Professional Staff,4.0
Katya Enterlein,Engineering,Senior Developer,0,99642.31,5/28/2008,active,Administrative Staff,2.4
Nessa Grassett,Legal,Environmental Tech,17,101062.06,3/16/2016,active,Senior Management,1.1
Kinnie Moxstead,Research and Development,Sales Representative,14,63537.34,5/12/2011,active,Professional Staff,1.3
Annabela Zamorano,Product Management,Dental Hygienist,4,136141.71,5/14/2016,active,Professional Staff,2.6
Lynsey Frossell,Business Development,Product Engineer,30,63482.3,12/19/2018,active,Junior Management,2.2
Alexandr Segge,Services,Automation Specialist IV,16,124662.15,11/25/2010,active,Middle Management,4.9
Davina Scullin,Training,Senior Cost Accountant,10,144724.89,8/7/2018,active,Senior Management,1.5
